time,search_service,shop_service,web_service,media_service
0,81.0,118,80,111
1,77.75,112,80,105
2,74.5,106,80,100
3,71.25,100,80,94
4,68.25,94,80,89
5,66.5,93,80,84
6,64.75,92,80,78
7,62.75,91,80,72
8,61.25,90,80,67
9,59.0,81,85,63
10,57.0,72,90,59
11,54.75,63,95,55
12,52.75,54,100,51
13,50.25,54,92,50
14,48.0,55,83,49
15,45.5,56,74,48
16,43.25,56,66,47
17,43.75,62,64,46
18,44.5,68,61,46
19,44.75,74,58,45
20,45.75,80,56,45
21,47.25,86,57,44
22,49.0,92,58,44
23,50.5,98,59,43
24,52.0,104,60,42
25,57.0,112,69,45
26,62.5,120,78,49
27,67.5,128,87,52
28,73.0,136,96,56
29,83.25,140,122,60
30,93.75,145,148,64
31,104.5,150,174,69
32,114.75,154,200,73
33,113.25,154,180,77
34,111.5,154,160,81
35,110.0,154,140,85
36,108.25,154,120,89
37,112.25,154,122,93
38,116.75,154,125,98
39,121.0,154,128,102
40,125.25,154,130,107
41,130.0,158,132,110
42,134.25,161,133,113
43,138.5,164,134,117
44,143.25,168,136,120
45,146.25,170,140,122
46,149.0,172,143,124
47,152.0,174,146,127
48,155.25,176,150,129
49,157.25,177,152,130
50,159.75,178,155,131
51,162.25,179,158,132
52,164.5,180,160,133
53,167.5,185,165,134
54,170.75,190,170,135
55,174.0,195,175,137
56,177.0,200,180,138
57,177.0,198,178,139
58,176.75,197,175,140
59,176.75,196,172,141
60,176.5,194,170,142
61,170.75,184,158,141
62,164.75,175,145,140
63,159.0,166,132,139
64,153.0,156,120,138
65,149.5,153,118,137
66,146.0,150,115,137
67,142.25,147,112,136
68,139.0,144,110,136
69,136.25,142,110,135
70,133.5,140,110,134
71,130.75,138,110,134
72,128.0,136,110,133
73,127.25,134,108,140
74,126.5,131,107,147
75,125.5,128,106,153
76,124.75,126,104,160
77,120.75,122,93,168
78,117.5,119,82,177
79,114.0,116,71,185
80,110.5,112,60,194
81,109.0,112,58,196
82,107.5,111,57,197
83,105.75,110,56,198
84,104.25,110,54,200
85,101.75,110,52,196
86,99.0,109,51,192
87,96.25,108,50,188
88,93.5,108,48,184
89,91.0,109,44,181
90,88.75,110,39,179
91,86.0,111,34,176
92,83.5,112,30,173
93,82.75,114,42,157
94,82.25,115,55,142
95,81.5,116,68,126
