time,search_service,shop_service,web_service
0,8,12,16
1,8,13,16
2,8,14,17
3,7,16,18
4,7,17,17
5,7,18,15
6,7,19,14
7,7,21,12
8,7,22,12
9,7,24,11
10,7,26,11
11,7,27,10
12,7,28,11
13,7,29,11
14,7,30,11
15,7,30,12
16,7,30,14
17,7,30,15
18,7,30,17
19,7,30,21
20,7,30,26
21,7,30,31
22,9,30,35
23,10,30,34
24,11,31,31
25,12,32,27
26,15,33,23
27,16,33,22
28,17,33,23
29,19,34,23
30,20,34,24
31,22,34,24
32,24,35,25
33,25,34,25
34,27,36,25
35,28,36,26
36,30,38,27
37,31,38,27
38,31,39,28
39,32,38,28
40,33,38,29
41,34,37,29
42,34,36,30
43,36,34,31
44,36,32,32
45,36,30,33
46,37,30,33
47,37,29,32
48,37,29,32
49,38,28,31
50,38,27,29
51,39,27,27
52,38,27,24
53,38,26,22
54,38,26,22
55,38,25,21
56,38,25,21
57,37,24,20
58,35,23,20
59,34,22,20
60,32,22,20
61,31,22,20
62,30,22,20
63,28,21,19
64,27,21,19
65,26,21,18
66,25,21,16
67,25,21,14
68,23,21,11
69,22,22,11
70,20,22,11
71,19,22,10
72,18,21,10
73,17,20,10
74,16,18,9
75,15,17,9
76,14,17,9
77,13,17,8
78,13,16,7
79,12,16,6
80,11,15,7
81,10,13,9
82,10,11,12
83,9,10,14
84,9,10,16
85,9,10,16
86,9,10,16
87,8,10,16
88,8,11,16
89,8,13,16
90,8,14,16
91,8,15,16
92,8,16,17
93,7,17,18
94,7,18,19
95,1,15,18
