time,search_service,shop_service,web_service,media_service
0,15,118,80,111
1,14,112,80,105
2,12,106,80,100
3,11,100,80,94
4,10,94,80,89
5,9,93,80,84
6,9,92,80,78
7,8,91,80,72
8,8,90,80,67
9,7,81,85,63
10,7,72,90,59
11,6,63,95,55
12,6,54,100,51
13,5,54,92,50
14,5,55,83,49
15,4,56,74,48
16,4,56,66,47
17,3,62,64,46
18,3,68,61,46
19,2,74,58,45
20,2,80,56,45
21,2,86,57,44
22,2,92,58,44
23,2,98,59,43
24,2,104,60,42
25,2,112,69,45
26,3,120,78,49
27,3,128,87,52
28,4,136,96,56
29,11,140,122,60
30,18,145,148,64
31,25,150,174,69
32,32,154,200,73
33,42,154,180,77
34,51,154,160,81
35,61,154,140,85
36,70,154,120,89
37,80,154,122,93
38,90,154,125,98
39,100,154,128,102
40,110,154,130,107
41,120,158,132,110
42,130,161,133,113
43,139,164,134,117
44,149,168,136,120
45,153,170,140,122
46,157,172,143,124
47,161,174,146,127
48,166,176,150,129
49,170,177,152,130
50,175,178,155,131
51,180,179,158,132
52,185,180,160,133
53,186,185,165,134
54,188,190,170,135
55,189,195,175,137
56,190,200,180,138
57,193,198,178,139
58,195,197,175,140
59,198,196,172,141
60,200,194,170,142
61,200,184,158,141
62,199,175,145,140
63,199,166,132,139
64,198,156,120,138
65,190,153,118,137
66,182,150,115,137
67,174,147,112,136
68,166,144,110,136
69,158,142,110,135
70,150,140,110,134
71,141,138,110,134
72,133,136,110,133
73,127,134,108,140
74,121,131,107,147
75,115,128,106,153
76,109,126,104,160
77,100,122,93,168
78,92,119,82,177
79,84,116,71,185
80,76,112,60,194
81,70,112,58,196
82,65,111,57,197
83,59,110,56,198
84,53,110,54,200
85,49,110,52,196
86,44,109,51,192
87,39,108,50,188
88,34,108,48,184
89,30,109,44,181
90,27,110,39,179
91,23,111,34,176
92,19,112,30,173
93,18,114,42,157
94,17,115,55,142
95,16,116,68,126
