time,node,inter_arrival_mean
0,pop0,2.5527464629126637
0,pop2,2.5527464629126637
0,pop5,2.5527464629126637
0,pop7,2.5527464629126637
100,pop0,2.5935961804566623
100,pop2,2.5935961804566623
100,pop5,2.5935961804566623
100,pop7,2.5935961804566623
200,pop0,2.65367876403176
200,pop2,2.65367876403176
200,pop5,2.65367876403176
200,pop7,2.65367876403176
300,pop0,2.6923028032326295
300,pop2,2.6923028032326295
300,pop5,2.6923028032326295
300,pop7,2.6923028032326295
400,pop0,2.792537648479816
400,pop2,2.792537648479816
400,pop5,2.792537648479816
400,pop7,2.792537648479816
500,pop0,2.9600736893631114
500,pop2,2.9600736893631114
500,pop5,2.9600736893631114
500,pop7,2.9600736893631114
600,pop0,3.140566113256815
600,pop2,3.140566113256815
600,pop5,3.140566113256815
600,pop7,3.140566113256815
700,pop0,3.284491742290036
700,pop2,3.284491742290036
700,pop5,3.284491742290036
700,pop7,3.284491742290036
800,pop0,3.407197823775177
800,pop2,3.407197823775177
800,pop5,3.407197823775177
800,pop7,3.407197823775177
900,pop0,3.5577903501764103
900,pop2,3.5577903501764103
900,pop5,3.5577903501764103
900,pop7,3.5577903501764103
1000,pop0,3.658654574356983
1000,pop2,3.658654574356983
1000,pop5,3.658654574356983
1000,pop7,3.658654574356983
1100,pop0,3.7526300052435495
1100,pop2,3.7526300052435495
1100,pop5,3.7526300052435495
1100,pop7,3.7526300052435495
1200,pop0,3.8066689994783443
1200,pop2,3.8066689994783443
1200,pop5,3.8066689994783443
1200,pop7,3.8066689994783443
1300,pop0,3.817512302865188
1300,pop2,3.817512302865188
1300,pop5,3.817512302865188
1300,pop7,3.817512302865188
1400,pop0,3.847730781033308
1400,pop2,3.847730781033308
1400,pop5,3.847730781033308
1400,pop7,3.847730781033308
1500,pop0,3.87803683999177
1500,pop2,3.87803683999177
1500,pop5,3.87803683999177
1500,pop7,3.87803683999177
1600,pop0,3.858845091035712
1600,pop2,3.858845091035712
1600,pop5,3.858845091035712
1600,pop7,3.858845091035712
1700,pop0,3.7338444637944876
1700,pop2,3.7338444637944876
1700,pop5,3.7338444637944876
1700,pop7,3.7338444637944876
1800,pop0,3.519965357490728
1800,pop2,3.519965357490728
1800,pop5,3.519965357490728
1800,pop7,3.519965357490728
1900,pop0,3.2713219465656365
1900,pop2,3.2713219465656365
1900,pop5,3.2713219465656365
1900,pop7,3.2713219465656365
2000,pop0,3.0120212186074413
2000,pop2,3.0120212186074413
2000,pop5,3.0120212186074413
2000,pop7,3.0120212186074413
2100,pop0,2.7419745835208995
2100,pop2,2.7419745835208995
2100,pop5,2.7419745835208995
2100,pop7,2.7419745835208995
2200,pop0,2.4788407973138287
2200,pop2,2.4788407973138287
2200,pop5,2.4788407973138287
2200,pop7,2.4788407973138287
2300,pop0,2.322363455437125
2300,pop2,2.322363455437125
2300,pop5,2.322363455437125
2300,pop7,2.322363455437125
2400,pop0,2.2065118547608384
2400,pop2,2.2065118547608384
2400,pop5,2.2065118547608384
2400,pop7,2.2065118547608384
2500,pop0,2.1271504231393834
